test,test_name,scale,domain,subdomain,narrow,pass,verbal,timed,test_type,score_type,description
cars2,CARS-2,Fear or Nervousness,Social Cognition,Autism Spectrum,Mood/Anxiety,,,,rating_scale,raw_score,CARS-2 Fear or Nervousness
cars2,CARS-2,Nonverbal Communication,Social Cognition,Autism Spectrum,Nonverbal Communication,,,,rating_scale,raw_score,CARS-2 Nonverbal Communication
cars2,CARS-2,Object Use,Social Cognition,Autism Spectrum,Object Use,,,,rating_scale,raw_score,CARS-2 Object Use
cars2,CARS-2,Relating to People,Social Cognition,Autism Spectrum,Relating to People,,,,rating_scale,raw_score,CARS-2 Relating to People
cars2,CARS-2,"Taste, Smell, and Touch Response and Use",Social Cognition,Autism Spectrum,Sensory/Motor,,,,rating_scale,raw_score,"CARS-2 Taste, Smell, and Touch Response and Use"
cars2,CARS-2,Verbal Communication,Social Cognition,Autism Spectrum,Verbal Communication,,,,rating_scale,raw_score,CARS-2 Verbal Communication
cars2,CARS-2,Visual Response,Social Cognition,Autism Spectrum,Visual Response,,,,rating_scale,raw_score,CARS-2 Visual Response
cars2_hf,CARS 2-HF,Adaptation to Change/Restricted Interests,Social Cognition,Autism Spectrum,Adaptation to Change/Restricted Interests,,,,rating_scale,raw_score,This scale looks at Biggie's flexibility in adapting to changes and the presence of restricted interests. A moderately atypical score indicates significant resistance to change and a strong preference for routine and specific interests.
cars2_hf,CARS 2-HF,General Impressions,Social Cognition,Autism Spectrum,ASD Impression,,,,rating_scale,raw_score,This scale provides a general impression of Biggie's overall functioning related to ASD. A moderate-to-severe score indicates significant autism spectrum traits affecting various aspects of daily life.
cars2_hf,CARS 2-HF,Body Use,Social Cognition,Autism Spectrum,Body Use,,,,rating_scale,raw_score,"This scale assesses Biggie's use of body movements in a socially appropriate manner. A moderately atypical score reflects challenges in using body language effectively, which may include repetitive or unusual movements."
cars2_hf,CARS 2-HF,CARS 2-HF Total Score,Social Cognition,Autism Spectrum,CARS 2-HF Total Score,,,,rating_scale,t_score,"The total score summarizes Biggie's overall level of autism spectrum disorder severity. A high score indicates severe symptoms, suggesting significant challenges in social, communication, and behavioral domains."
cars2_hf,CARS 2-HF,Thinking/Cognitive Integration Skills,Social Cognition,Autism Spectrum,Cognitive Integration,,,,rating_scale,raw_score,This scale measures Biggie's cognitive integration skills. An age-appropriate score indicates typical cognitive abilities in processing and integrating information.
cars2_hf,CARS 2-HF,Emotional Expression and Regulation of Emotions,Social Cognition,Autism Spectrum,Emotional Expression and Regulation of Emotions,,,,rating_scale,raw_score,"This scale measures Biggie's capacity to express emotions appropriately and regulate emotional responses. A severely impaired score suggests profound difficulties in managing and expressing emotions, which may lead to inappropriate emotional reactions and difficulty in emotional regulation."
cars2_hf,CARS 2-HF,Level of Consistency of Intellectual Response,Social Cognition,Autism Spectrum,Intellectual Consistency,,,,rating_scale,raw_score,This scale evaluates the consistency of Biggie's intellectual responses. An expected range score suggests stable and reliable cognitive performance.
cars2_hf,CARS 2-HF,Listening Response,Social Cognition,Autism Spectrum,Listening Response,,,,rating_scale,raw_score,This scale evaluates Biggie's ability to respond appropriately to auditory information. A moderately atypical score indicates significant challenges in processing and responding to spoken language.
cars2_hf,CARS 2-HF,Fear or Anxiety,Social Cognition,Autism Spectrum,Mood/Anxiety,,,,rating_scale,raw_score,"This scale assesses Biggie's levels of fear and anxiety. A severely impaired score suggests high levels of anxiety and fear, which can significantly impact daily functioning and interactions."
cars2_hf,CARS 2-HF,Nonverbal Communication,Social Cognition,Autism Spectrum,Nonverbal Communication,,,,rating_scale,raw_score,"This scale assesses Biggie's use of nonverbal communication. A moderately atypical score suggests challenges in using gestures, facial expressions, and other nonverbal cues."
cars2_hf,CARS 2-HF,Object Use in Play,Social Cognition,Autism Spectrum,Object Use in Play,,,,rating_scale,raw_score,"This scale examines Biggie's ability to use objects in play in a typical manner. A mildly atypical score suggests slight deviations from typical play behavior, possibly including repetitive use of objects or limited imagination in play."
cars2_hf,CARS 2-HF,Relating to People,Social Cognition,Autism Spectrum,Relating to People,,,,rating_scale,raw_score,"This scale evaluates how Biggie interacts with others. A score of moderately atypical indicates noticeable difficulties in forming and maintaining relationships, often resulting in awkward or unusual social interactions."
cars2_hf,CARS 2-HF,"Taste, Smell, and Touch Response and Use",Social Cognition,Autism Spectrum,Sensory/Motor,,,,rating_scale,raw_score,"This scale measures Biggie's sensory responses related to taste, smell, and touch. A moderately atypical score reflects unusual sensory responses, which may include hyper- or hypo-sensitivity to sensory stimuli."
cars2_hf,CARS 2-HF,Social-Emotional Understanding,Social Cognition,Autism Spectrum,Social-Emotional Understanding,,,,rating_scale,raw_score,"This scale assesses Biggie's ability to understand and appropriately respond to social and emotional cues from others. A moderately impaired score indicates significant challenges in recognizing and interpreting social-emotional information, impacting daily social interactions."
cars2_hf,CARS 2-HF,Verbal Communication,Social Cognition,Autism Spectrum,Verbal Communication,,,,rating_scale,raw_score,"This scale evaluates Biggie's verbal communication skills. A moderately atypical score indicates difficulties in using spoken language effectively, which may include limited vocabulary or unusual speech patterns."
cars2_hf,CARS 2-HF,Visual Response,Social Cognition,Autism Spectrum,Visual Response,,,,rating_scale,raw_score,"This scale assesses Biggie's responses to visual stimuli. A score of moderately-to-severely atypical suggests substantial difficulties in processing visual information, which may affect attention and perception."
cefi_observer,CEFI Observer,Attention,ADHD,Executive Function,Attention Problems,,,,rating_scale,standard_score,"i.e., avoid distractions, concentrate on tasks, and sustain attention (observer rated)"
cefi_observer,CEFI Observer,Emotion Regulation,ADHD,Executive Function,Emotion Dysregulation,,,,rating_scale,standard_score,"i.e., control and manage emotions, including staying calm when handling small problems and reacting with the right level of emotion (observer rated)"
cefi_observer,CEFI Observer,Flexibility,ADHD,Executive Function,Flexibility,,,,rating_scale,standard_score,"i.e., adjust behavior to meet circumstances, including coming up with different ways to solve problems, changing behavior when needed, and being able to come up with new ways to reach a goal (observer rated)"
cefi_observer,CEFI Observer,Inhibitory Control,ADHD,Executive Function,Inhibition,,,,rating_scale,standard_score,"i.e., control behavior or impulses, including thinking about consequences before acting, maintaining self-control, and thinking before speaking (observer rated)"
cefi_observer,CEFI Observer,Initiation,ADHD,Executive Function,Initiation,,,,rating_scale,standard_score,"i.e., begin tasks or projects on own, including starting tasks easily, being motivated, and taking the initiative when needed (observer rated)"
cefi_observer,CEFI Observer,Organization,ADHD,Executive Function,Organization,,,,rating_scale,standard_score,"i.e., manage personal effects, work, or multiple tasks, including organizing tasks and thoughts well, managing time effectively, and working neatly (observer rated)"
cefi_observer,CEFI Observer,Full Scale,ADHD,Executive Function,Overall Executive Functioning,,,,rating_scale,standard_score,overall level of executive functioning (observer rated)
cefi_observer,CEFI Observer,Planning,ADHD,Executive Function,Planning,,,,rating_scale,standard_score,"i.e., develop and implement strategies to accomplish tasks, including planning ahead and making good decisions (observer rated)"
cefi_observer,CEFI Observer,Self-Monitoring,ADHD,Executive Function,Self-Monitoring,,,,rating_scale,standard_score,"i.e., evaluate own behavior in order to determine when a different approach is necessary, including noticing and fixing mistakes, knowing when help is required, and understanding when a task is completed (observer rated)"
cefi_observer,CEFI Observer,Working Memory,ADHD,Executive Function,Working Memory,,,,rating_scale,standard_score,"i.e., keep information in mind that is important for knowing what to do and how to do it, including remembering important things, instructions, and steps (observer rated)"
cefi_parent_5-18,CEFI Parent,Attention,ADHD,Executive Function,Attention Problems,,,,rating_scale,standard_score,"i.e., avoid distractions, concentrate on tasks, and sustain attention (parent rated)"
cefi_parent_5-18,CEFI Parent,Emotion Regulation,ADHD,Executive Function,Emotion Dysregulation,,,,rating_scale,standard_score,"i.e., control and manage emotions, including staying calm when handling small problems and reacting with the right level of emotion (parent rated)"
cefi_parent_5-18,CEFI Parent,Flexibility,ADHD,Executive Function,Flexibility,,,,rating_scale,standard_score,"i.e., adjust behavior to meet circumstances, including coming up with different ways to solve problems, changing behavior when needed, and being able to come up with new ways to reach a goal (parent rated)"
cefi_parent_5-18,CEFI Parent,Inhibitory Control,ADHD,Executive Function,Inhibition,,,,rating_scale,standard_score,"i.e., control behavior or impulses, including thinking about consequences before acting, maintaining self-control, and thinking before speaking (parent rated)"
cefi_parent_5-18,CEFI Parent,Initiation,ADHD,Executive Function,Initiation,,,,rating_scale,standard_score,"i.e., begin tasks or projects on own, including starting tasks easily, being motivated, and taking the initiative when needed (parent rated)"
cefi_parent_5-18,CEFI Parent,Organization,ADHD,Executive Function,Organization,,,,rating_scale,standard_score,"i.e., manage personal effects, work, or multiple tasks, including organizing tasks and thoughts well, managing time effectively, and working neatly (parent rated)"
cefi_parent_5-18,CEFI Parent,Full Scale,ADHD,Executive Function,Overall Executive Functioning,,,,rating_scale,standard_score,overall level of executive functioning (parent rated)
cefi_parent_5-18,CEFI Parent,Planning,ADHD,Executive Function,Planning,,,,rating_scale,standard_score,"i.e., develop and implement strategies to accomplish tasks, including planning ahead and making good decisions (parent rated)"
cefi_parent_5-18,CEFI Parent,Self-Monitoring,ADHD,Executive Function,Self-Monitoring,,,,rating_scale,standard_score,"i.e., evaluate own behavior in order to determine when a different approach is necessary, including noticing and fixing mistakes, knowing when help is required, and understanding when a task is completed (parent rated)"
cefi_parent_5-18,CEFI Parent,Working Memory,ADHD,Executive Function,Working Memory,,,,rating_scale,standard_score,"i.e., keep information in mind that is important for knowing what to do and how to do it, including remembering important things, instructions, and steps (parent rated)"
cefi_self,CEFI Self,Attention,ADHD,Executive Function,Attention Problems,,,,rating_scale,standard_score,"i.e., avoid distractions, concentrate on tasks, and sustain attention (self report)"
cefi_self,CEFI Self,Emotion Regulation,ADHD,Executive Function,Emotion Dysregulation,,,,rating_scale,standard_score,"i.e., control and manage emotions, including staying calm when handling small problems and reacting with the right level of emotion (self report)"
cefi_self,CEFI Self,Flexibility,ADHD,Executive Function,Flexibility,,,,rating_scale,standard_score,"i.e., adjust behavior to meet circumstances, including coming up with different ways to solve problems, changing behavior when needed, and being able to come up with new ways to reach a goal (self report)"
cefi_self,CEFI Self,Inhibitory Control,ADHD,Executive Function,Inhibition,,,,rating_scale,standard_score,"i.e., control behavior or impulses, including thinking about consequences before acting, maintaining self-control, and thinking before speaking (self report)"
cefi_self,CEFI Self,Initiation,ADHD,Executive Function,Initiation,,,,rating_scale,standard_score,"i.e., begin tasks or projects on own, including starting tasks easily, being motivated, and taking the initiative when needed (self report)"
cefi_self,CEFI Self,Organization,ADHD,Executive Function,Organization,,,,rating_scale,standard_score,"i.e., manage personal effects, work, or multiple tasks, including organizing tasks and thoughts well, managing time effectively, and working neatly (self report)"
cefi_self,CEFI Self,Full Scale,ADHD,Executive Function,Overall Executive Functioning,,,,rating_scale,standard_score,overall level of executive functioning (self report)
cefi_self,CEFI Self,Planning,ADHD,Executive Function,Planning,,,,rating_scale,standard_score,"i.e., develop and implement strategies to accomplish tasks, including planning ahead and making good decisions (self report)"
cefi_self,CEFI Self,Self-Monitoring,ADHD,Executive Function,Self-Monitoring,,,,rating_scale,standard_score,"i.e., evaluate own behavior in order to determine when a different approach is necessary, including noticing and fixing mistakes, knowing when help is required, and understanding when a task is completed (self report)"
cefi_self,CEFI Self,Working Memory,ADHD,Executive Function,Working Memory,,,,rating_scale,standard_score,"i.e., keep information in mind that is important for knowing what to do and how to do it, including remembering important things, instructions, and steps (self report)"
cefi_self_12-18,CEFI Self,Attention,ADHD,Executive Function,Attention Problems,,,,rating_scale,standard_score,"i.e., avoid distractions, concentrate on tasks, and sustain attention (self report)"
cefi_self_12-18,CEFI Self,Emotion Regulation,ADHD,Executive Function,Emotion Dysregulation,,,,rating_scale,standard_score,"i.e., control and manage emotions, including staying calm when handling small problems and reacting with the right level of emotion (self report)"
cefi_self_12-18,CEFI Self,Flexibility,ADHD,Executive Function,Flexibility,,,,rating_scale,standard_score,"i.e., adjust behavior to meet circumstances, including coming up with different ways to solve problems, changing behavior when needed, and being able to come up with new ways to reach a goal (self report)"
cefi_self_12-18,CEFI Self,Inhibitory Control,ADHD,Executive Function,Inhibition,,,,rating_scale,standard_score,"i.e., control behavior or impulses, including thinking about consequences before acting, maintaining self-control, and thinking before speaking (self report)"
cefi_self_12-18,CEFI Self,Initiation,ADHD,Executive Function,Initiation,,,,rating_scale,standard_score,"i.e., begin tasks or projects on own, including starting tasks easily, being motivated, and taking the initiative when needed (self report)"
cefi_self_12-18,CEFI Self,Organization,ADHD,Executive Function,Organization,,,,rating_scale,standard_score,"i.e., manage personal effects, work, or multiple tasks, including organizing tasks and thoughts well, managing time effectively, and working neatly (self report)"
cefi_self_12-18,CEFI Self,Full Scale,ADHD,Executive Function,Overall Executive Functioning,,,,rating_scale,standard_score,overall level of executive functioning (self report)
cefi_self_12-18,CEFI Self,Planning,ADHD,Executive Function,Planning,,,,rating_scale,standard_score,"i.e., develop and implement strategies to accomplish tasks, including planning ahead and making good decisions (self report)"
cefi_self_12-18,CEFI Self,Self-Monitoring,ADHD,Executive Function,Self-Monitoring,,,,rating_scale,standard_score,"i.e., evaluate own behavior in order to determine when a different approach is necessary, including noticing and fixing mistakes, knowing when help is required, and understanding when a task is completed (self report)"
cefi_self_12-18,CEFI Self,Working Memory,ADHD,Executive Function,Working Memory,,,,rating_scale,standard_score,"i.e., keep information in mind that is important for knowing what to do and how to do it, including remembering important things, instructions, and steps (self report)"
cefi_teacher_5-18,CEFI Teacher,Attention,ADHD,Executive Function,Attention Problems,,,,rating_scale,standard_score,"i.e., avoid distractions, concentrate on tasks, and sustain attention (teacher rated)"
cefi_teacher_5-18,CEFI Teacher,Emotion Regulation,ADHD,Executive Function,Emotion Dysregulation,,,,rating_scale,standard_score,"i.e., control and manage emotions, including staying calm when handling small problems and reacting with the right level of emotion (teacher rated)"
cefi_teacher_5-18,CEFI Teacher,Flexibility,ADHD,Executive Function,Flexibility,,,,rating_scale,standard_score,"i.e., adjust behavior to meet circumstances, including coming up with different ways to solve problems, changing behavior when needed, and being able to come up with new ways to reach a goal (teacher rated)"
cefi_teacher_5-18,CEFI Teacher,Inhibitory Control,ADHD,Executive Function,Inhibition,,,,rating_scale,standard_score,"i.e., control behavior or impulses, including thinking about consequences before acting, maintaining self-control, and thinking before speaking (teacher rated)"
cefi_teacher_5-18,CEFI Teacher,Initiation,ADHD,Executive Function,Initiation,,,,rating_scale,standard_score,"i.e., begin tasks or projects on own, including starting tasks easily, being motivated, and taking the initiative when needed (teacher rated)"
cefi_teacher_5-18,CEFI Teacher,Organization,ADHD,Executive Function,Organization,,,,rating_scale,standard_score,"i.e., manage personal effects, work, or multiple tasks, including organizing tasks and thoughts well, managing time effectively, and working neatly (teacher rated)"
cefi_teacher_5-18,CEFI Teacher,Full Scale,ADHD,Executive Function,Overall Executive Functioning,,,,rating_scale,standard_score,overall level of executive functioning (teacher rated)
cefi_teacher_5-18,CEFI Teacher,Planning,ADHD,Executive Function,Planning,,,,rating_scale,standard_score,"i.e., develop and implement strategies to accomplish tasks, including planning ahead and making good decisions (teacher rated)"
cefi_teacher_5-18,CEFI Teacher,Self-Monitoring,ADHD,Executive Function,Self-Monitoring,,,,rating_scale,standard_score,"i.e., evaluate own behavior in order to determine when a different approach is necessary, including noticing and fixing mistakes, knowing when help is required, and understanding when a task is completed (teacher rated)"
cefi_teacher_5-18,CEFI Teacher,Working Memory,ADHD,Executive Function,Working Memory,,,,rating_scale,standard_score,"i.e., keep information in mind that is important for knowing what to do and how to do it, including remembering important things, instructions, and steps (teacher rated)"
conners4_parent,Conners-4 Parent,ADHD Index,ADHD,Conners-4 ADHD Index,ADHD Risk Index,,,,rating_scale,t_score,Scale composed of the 12 items that best differentiate youth with ADHD from those in the general population
conners4_parent,Conners-4 Parent,ADHD Inattentive Symptoms,ADHD,DSM Symptom Scales,Disruptive Behavior,,,,rating_scale,t_score,Items that are consistent with the DSM-5 Inattentive Presentation of ADHD
conners4_parent,Conners-4 Parent,Inattention/Executive Dysfunction,ADHD,Content Scales,Attention/Executive,,,,rating_scale,t_score,"A scale including items related to having trouble paying attention and sustaining attention, as well as difficulty with other areas of executive functioning such as planning, organizing, and time management"
conners4_parent,Conners-4 Parent,Emotional Dysregulation,ADHD,Content Scales,Emotion Dysregulation,,,,rating_scale,t_score,"A scale including items about overreacting, losing temper, and having trouble calming down"
conners4_parent,Conners-4 Parent,Hyperactivity,ADHD,Content Scales,Hyperactivity,,,,rating_scale,t_score,"A scale including items about restlessness, difficulty staying seated or sitting still, needing to move around, getting overly excited, and talking too much"
conners4_parent,Conners-4 Parent,Impulsivity,ADHD,Content Scales,Impulsivity,,,,rating_scale,t_score,"A scale including items about interrupting others, blurting out answers, acting before thinking, and having trouble waiting for one's turn"
conners4_parent,Conners-4 Parent,Anxious Thoughts,ADHD,Content Scales,Mood/Anxiety,,,,rating_scale,t_score,"A scale including items about the patient's experience of—or difficulty with—regulating fears or worries, including appearing tense or nervous, and worrying too much about different things"
conners4_parent,Conners-4 Parent,Depressed Mood,ADHD,Content Scales,Mood/Depression,,,,rating_scale,t_score,"Items related to feeling sad, lacking enjoyment in things that used to be enjoyed, and feeling hopeless about the future"
conners4_parent,Conners-4 Parent,Total ADHD Symptoms,ADHD,DSM Symptom Scales,Disruptive Behavior,,,,rating_scale,t_score,All items from the Conners 4 DSM ADHD Inattentive and Hyperactive/Impulsive Symptom scales
conners4_parent,Conners-4 Parent,Conduct Disorder Symptoms,ADHD,DSM Symptom Scales,Disruptive Behavior,,,,rating_scale,t_score,Items representing the DSM symptoms of Conduct Disorder
conners4_parent,Conners-4 Parent,Oppositional Defiant Disorder Symptoms,ADHD,DSM Symptom Scales,Disruptive Behavior,,,,rating_scale,t_score,Items representing the DSM symptoms of Oppositional Defiant Disorder
conners4_parent,Conners-4 Parent,Family Life,ADHD,Functional Impairment,Family Impairment,,,,rating_scale,t_score,"Items reflecting family disruptions caused by the youth, such as creating stress and chaos among family members, as well as causing the family to be late for appointments"
conners4_parent,Conners-4 Parent,Schoolwork,ADHD,Functional Impairment,School/Academics,,,,rating_scale,t_score,"Items related to turning in late or incomplete work, losing homework, and not checking their work for mistakes"
conners4_parent,Conners-4 Parent,Peer Interactions,ADHD,Functional Impairment,Social,,,,rating_scale,t_score,"Items related to the youth annoying their peers, not being invited by others to play or go out, and others not wanting to be friends with them"
conners4_parent,Conners-4 Parent,ADHD Hyperactive/Impulsive Symptoms,ADHD,DSM Symptom Scales,Disruptive Behavior,,,,rating_scale,t_score,Symptoms of hyperactivity and impulsivity consistent with DSM-5
conners4_self,Conners-4 Self,ADHD Index,ADHD,Conners-4 ADHD Index,ADHD Risk Index,,,,rating_scale,t_score,Scale composed of the 12 items that best differentiate youth with ADHD from those in the general population
conners4_self,Conners-4 Self,ADHD Inattentive Symptoms,ADHD,DSM Symptom Scales,Disruptive Behavior,,,,rating_scale,t_score,Items that are consistent with the DSM-5 Inattentive Presentation of ADHD
conners4_self,Conners-4 Self,Inattention/Executive Dysfunction,ADHD,Content Scales,Attention/Executive,,,,rating_scale,t_score,"A scale including items related to having trouble paying attention and sustaining attention, as well as difficulty with other areas of executive functioning such as planning, organizing, and time management"
conners4_self,Conners-4 Self,Emotional Dysregulation,ADHD,Content Scales,Emotion Dysregulation,,,,rating_scale,t_score,"A scale including items about overreacting, losing temper, and having trouble calming down"
conners4_self,Conners-4 Self,Hyperactivity,ADHD,Content Scales,Hyperactivity,,,,rating_scale,t_score,"A scale including items about restlessness, difficulty staying seated or sitting still, needing to move around, getting overly excited, and talking too much"
conners4_self,Conners-4 Self,Impulsivity,ADHD,Content Scales,Impulsivity,,,,rating_scale,t_score,"A scale including items about interrupting others, blurting out answers, acting before thinking, and having trouble waiting for one's turn"
conners4_self,Conners-4 Self,Anxious Thoughts,ADHD,Content Scales,Mood/Anxiety,,,,rating_scale,t_score,"A scale including items about the patient's experience of—or difficulty with—regulating fears or worries, including appearing tense or nervous, and worrying too much about different things"
conners4_self,Conners-4 Self,Depressed Mood,ADHD,Content Scales,Mood/Depression,,,,rating_scale,t_score,"Items related to feeling sad, lacking enjoyment in things that used to be enjoyed, and feeling hopeless about the future"
conners4_self,Conners-4 Self,Total ADHD Symptoms,ADHD,DSM Symptom Scales,Disruptive Behavior,,,,rating_scale,t_score,All items from the Conners 4 DSM ADHD Inattentive and Hyperactive/Impulsive Symptom scales
conners4_self,Conners-4 Self,Conduct Disorder Symptoms,ADHD,DSM Symptom Scales,Disruptive Behavior,,,,rating_scale,t_score,Items representing the DSM symptoms of Conduct Disorder
conners4_self,Conners-4 Self,Oppositional Defiant Disorder Symptoms,ADHD,DSM Symptom Scales,Disruptive Behavior,,,,rating_scale,t_score,Items representing the DSM symptoms of Oppositional Defiant Disorder
conners4_self,Conners-4 Self,Family Life,ADHD,Functional Impairment,Family Impairment,,,,rating_scale,t_score,"Items reflecting family disruptions caused by the youth, such as creating stress and chaos among family members, as well as causing the family to be late for appointments"
conners4_self,Conners-4 Self,Schoolwork,ADHD,Functional Impairment,School/Academics,,,,rating_scale,t_score,"Items related to turning in late or incomplete work, losing homework, and not checking their work for mistakes"
conners4_self,Conners-4 Self,Peer Interactions,ADHD,Functional Impairment,Social,,,,rating_scale,t_score,"Items related to the youth annoying their peers, not being invited by others to play or go out, and others not wanting to be friends with them"
conners4_self,Conners-4 Self,ADHD Hyperactive/Impulsive Symptoms,ADHD,DSM Symptom Scales,Disruptive Behavior,,,,rating_scale,t_score,Symptoms of hyperactivity and impulsivity consistent with DSM-5
cvlt3_brief,CVLT-3 Brief,CVLT-3 Total Intrusions,Attention/Executive,Attention,Response Monitoring,Attention,Verbal,Untimed,npsych_test,scaled_score,Total number of intrusive response errors
cvlt3_brief,CVLT-3 Brief,CVLT-3 Total Repetitions,Attention/Executive,Attention,Response Monitoring,Attention,Verbal,Untimed,npsych_test,scaled_score,Total number of repetitive response errors
cvlt3_brief,CVLT-3 Brief,CVLT-3 Forced-Choice Recognition Hits,Performance Validity,Cognitive Effort,Forced-Choice Recognition Memory,,,,validity_indicator,raw_score,Number of hits on forced-choice recognition trials (raw score)
cvlt3_brief,CVLT-3 Brief,Long Delay Cued Recall,Memory,Delayed Recall,Free-Recall Memory,Sequential,Verbal,Untimed,npsych_test,scaled_score,Recall of the list after a long (20-minute) delay with cues
cvlt3_brief,CVLT-3 Brief,Long Delay Free Recall,Memory,Delayed Recall,Free-Recall Memory,Sequential,Verbal,Untimed,npsych_test,scaled_score,Recall of the list after a long (20-minute) delay
cvlt3_brief,CVLT-3 Brief,Short Delay Free Recall,Memory,Delayed Recall,Free-Recall Memory,Sequential,Verbal,Untimed,npsych_test,scaled_score,Recall of the list after a short delay
cvlt3_brief,CVLT-3 Brief,Recognition Discriminability (d'),Memory,Delayed Recall,Recognition Memory,Sequential,Verbal,Untimed,npsych_test,scaled_score,Yes/no recognition discriminability
cvlt3_brief,CVLT-3 Brief,Recognition Discriminability Nonparametric,Memory,Delayed Recall,Recognition Memory,Sequential,Verbal,Untimed,npsych_test,scaled_score,Yes/no recognition discriminability (nonparametric)
cvlt3_brief,CVLT-3 Brief,Total False Positives,Memory,Delayed Recall,Recognition Memory,Sequential,Verbal,Untimed,npsych_test,scaled_score,Yes/no recognition total false positives
cvlt3_brief,CVLT-3 Brief,Total Hits,Memory,Delayed Recall,Recognition Memory,Sequential,Verbal,Untimed,npsych_test,scaled_score,Yes/no recognition total hits
cvlt3_brief,CVLT-3 Brief,Trial 1 Correct,Memory,Learning Efficiency,Word-List Learning,Sequential,Verbal,Untimed,npsych_test,scaled_score,Correct number of words learned on the first trial
cvlt3_brief,CVLT-3 Brief,Trial 2 Correct,Memory,Learning Efficiency,Word-List Learning,Sequential,Verbal,Untimed,npsych_test,scaled_score,Correct number of words learned on the second trial
cvlt3_brief,CVLT-3 Brief,Trial 3 Correct,Memory,Learning Efficiency,Word-List Learning,Sequential,Verbal,Untimed,npsych_test,scaled_score,Correct number of words learned on the third trial
cvlt3_brief,CVLT-3 Brief,Trial 4 Correct,Memory,Learning Efficiency,Word-List Learning,Sequential,Verbal,Untimed,npsych_test,scaled_score,Correct number of words learned on the fourth trial
cvlt3_brief,CVLT-3 Brief,Trials 1-4 Correct,Memory,Learning Efficiency,Word-List Learning,Sequential,Verbal,Untimed,npsych_test,standard_score,Learning and recall of rote verbal information (word list)
dct,Dot Counting Test,DCT E-Score,Performance Validity,Cognitive Effort,Reaction Time,,,,validity_indicator,raw_score,DCT effort testing
dkefs,D-KEFS Color-Word Interference,Color Naming Total Errors,Attention/Executive,Attention,Response Monitoring,Attention,Verbal,,npsych_test,percentile,Color naming errors
dkefs,D-KEFS Color-Word Interference,Inhibition Total Errors,Attention/Executive,Attention,Response Monitoring,Attention,Verbal,Timed,npsych_test,scaled_score,Inhibition errors
dkefs,D-KEFS Color-Word Interference,Inhibition/Switching Total Errors,Attention/Executive,Attention,Response Monitoring,Attention,Verbal,Timed,npsych_test,scaled_score,Switching errors
dkefs,D-KEFS Color-Word Interference,Word Reading Total Errors,Attention/Executive,Attention,Response Monitoring,Attention,Verbal,,npsych_test,percentile,Word reading errors
dkefs,D-KEFS Color-Word Interference,Inhibition,Attention/Executive,Executive,Inhibition,Attention,Verbal,Timed,npsych_test,scaled_score,Inhibition/cognitive control
dkefs,D-KEFS Color-Word Interference,Inhibition/Switching,Attention/Executive,Executive,Set-Shifting,Attention,Verbal,Timed,npsych_test,scaled_score,Set-shifting/cognitive flexibility
dkefs,D-KEFS Color-Word Interference,Color Naming,Verbal/Language,Rapid Naming,Naming Facility,Sequential,Verbal,Timed,npsych_test,scaled_score,Rapid color naming
dkefs,D-KEFS Color-Word Interference,Word Reading,Verbal/Language,Rapid Naming,Naming Facility,Sequential,Verbal,Timed,npsych_test,scaled_score,Rapid word reading
examiner,NIH EXAMINER,Letter Fluency,Verbal/Language,Fluency,Phonemic Fluency,Sequential,Verbal,Timed,npsych_test,t_score,The patient's ability to generate words that fit a specific phonemic category within a time limit
examiner,NIH EXAMINER,Category Fluency,Verbal/Language,Fluency,Semantic Fluency,Sequential,Verbal,Timed,npsych_test,t_score,The patient's ability to generate words within specific semantically-related categories
ktea3,KTEA-3,Academic Skills Battery (ASB) Composite,Academic Skills,Academic Achievement,General Academic Achievement,,,Untimed,npsych_test,standard_score,"Overall academic achievement in the areas of reading, math, and writing"
ktea3,KTEA-3,Academic Fluency Composite,Academic Skills,Academic Fluency,Rate of Test-Taking,Sequential,,Timed,npsych_test,standard_score,"Overall academic fluency in reading, math, and writing"
ktea3,KTEA-3,Comprehension Composite,Verbal/Language,Comprehension,Comprehension-Knowledge,Sequential,Verbal,Untimed,npsych_test,standard_score,Estimate of general language comprehension skills
ktea3,KTEA-3,Listening Comprehension,Verbal/Language,Comprehension,Listening Ability,Sequential,Verbal,Untimed,npsych_test,standard_score,"Receptive language comprehension at the level of the word, sentence, and passage"
ktea3,KTEA-3,Oral Expression,Verbal/Language,Expression,Communication Ability,Sequential,Verbal,Timed,npsych_test,standard_score,Oral expression at the level of the word and sentence
ktea3,KTEA-3,Oral Fluency Composite,Verbal/Language,Expression,Communication Ability,Sequential,Verbal,Untimed,npsych_test,standard_score,General expressive language fluency
ktea3,KTEA-3,Expression Composite,Verbal/Language,Expression,Comprehension-Knowledge,Sequential,Verbal,Untimed,npsych_test,standard_score,Estimate of oral language expression skills
ktea3,KTEA-3,Associational Fluency,Verbal/Language,Fluency,Semantic Fluency,Sequential,Verbal,Untimed,npsych_test,standard_score,Semantic word fluency
ktea3,KTEA-3,Math Computation,Academic Skills,Math,Mathematical Achievement,Simultaneous,Nonverbal,Untimed,npsych_test,standard_score,"Paper and pencil math calculation skills, ranging from basic operations with integers to geometry, algebra, and calculus problems"
